BuildingSyncPath,State,RequiredValues,RequiredPairedElement
Audits.Audit.Sites.Site.Facilities.Facility.UserDefinedFields.UserDefinedField.FieldValue,Required,,
Audits.Audit.Sites.Site.PremisesIdentifiers,,,
Audits.Audit.Sites.Site.PremisesIdentifiers.PremisesIdentifier,,,
Audits.Audit.Sites.Site.PremisesIdentifiers.PremisesIdentifier.IdentifierLabel,,,
Audits.Audit.Sites.Site.PremisesIdentifiers.PremisesIdentifier.IdentifierCustomName,,,
Audits.Audit.Sites.Site.PremisesIdentifiers.PremisesIdentifier.IdentifierValue,,,
Audits.Audit.Sites.Site.PremisesName,Required,,
Audits.Audit.Sites.Site.PremisesNotes,Optional,,
Audits.Audit.Sites.Site.OccupancyClassification,,,
Audits.Audit.Sites.Site.Address,Required,,
Audits.Audit.Sites.Site.Address.StreetAddressDetail,Required,,
Audits.Audit.Sites.Site.Address.StreetAddressDetail.Simplified,Required,,
Audits.Audit.Sites.Site.Address.StreetAddressDetail.Simplified.StreetAddress,Required,,
Audits.Audit.Sites.Site.Address.StreetAddressDetail.Simplified.StreetAdditionalInfo,,,
Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex,,,
Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetNumberPrefix,,,
Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetNumberNumeric,,,
Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetNumberSuffix,,,
Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetDirPrefix,,,
Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetName,,,
Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetAdditionalInfo,,,
Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetSuffix,,,
Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetSuffixModifier,,,
Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.StreetDirSuffix,,,
Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.SubaddressType,,,
Audits.Audit.Sites.Site.Address.StreetAddressDetail.Complex.SubaddressIdentifier,,,
Audits.Audit.Sites.Site.Address.City,Required,,
Audits.Audit.Sites.Site.Address.State,Required,,
Audits.Audit.Sites.Site.Address.PostalCode,Required,,
Audits.Audit.Sites.Site.Address.PostalCodePlus4,,,
Audits.Audit.Sites.Site.Address.County,,,
Audits.Audit.Sites.Site.Address.Country,,,
Audits.Audit.Sites.Site.FloorAreas,,,
Audits.Audit.Sites.Site.FloorAreas.FloorArea,,,
Audits.Audit.Sites.Site.FloorAreas.FloorArea.FloorAreaType,,,
Audits.Audit.Sites.Site.FloorAreas.FloorArea.FloorAreaCustomName,,,
Audits.Audit.Sites.Site.FloorAreas.FloorArea.FloorAreaValue,,,
