enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance
Mixed-dry,10519,14f195cb-f6c6-4869-9f5b-a3f9b3a2230c,Mixed dry,Building America or DOE zone.,https://bedes.lbl.gov/node/14f195cb-f6c6-4869-9f5b-a3f9b3a2230c,af2178d7-3ed1-456d-af87-3decc69dd233,0.9555555555555556
Hot-dry,10518,,,,,,
Marine,10517,db379977-c3b0-4e75-a499-f54461ae4512,Marine,Building America or DOE zone.,https://bedes.lbl.gov/node/db379977-c3b0-4e75-a499-f54461ae4512,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
Subarctic,10516,25237be0-aa42-4b74-a9a0-f90486f0ff5f,Subarctic,Building America or DOE zone.,https://bedes.lbl.gov/node/25237be0-aa42-4b74-a9a0-f90486f0ff5f,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
8,10515,4a379f63-0bb5-4cb5-a04a-8f7269f0d723,8,ASHRAE. Subarctic. 12600 < HDD65F. California Title 24 representative city of El Toro. IECC Zone.,https://bedes.lbl.gov/node/4a379f63-0bb5-4cb5-a04a-8f7269f0d723,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
7,10514,38e04aa1-b194-4b35-94fa-29c722f8997e,7,ASHRAE. Very cold. 9000 < HDD65F <= 12600. California Title 24 representative city of San Diego. IECC Zone,https://bedes.lbl.gov/node/38e04aa1-b194-4b35-94fa-29c722f8997e,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
6,10513,50db75f3-a69b-4a8c-96c3-daed909445b0,6,California Title 24 representative city of Los Angeles. IECC Zone,https://bedes.lbl.gov/node/50db75f3-a69b-4a8c-96c3-daed909445b0,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
5,10512,a989a284-d242-41db-92b2-f2e166cd8a75,5,California Title 24 representative city of Santa Marina. IECC Zone. CBECS zone.,https://bedes.lbl.gov/node/a989a284-d242-41db-92b2-f2e166cd8a75,af2178d7-3ed1-456d-af87-3decc69dd233,1.0
4 (Marine),10511,,,,,,
4 (Except Marine),10510,,,,,,
