enum_name,enum_id,bedes_content_uuid,bedes_term,bedes_definition,bedes_url,bedes_related_term_uuid,distance
Apartment units,114,6f966b38-c2b3-4348-a0aa-3ea125192c68,Apartment unit,Individual units in multifamily housing that are rented or sold separately.,https://bedes.lbl.gov/node/6f966b38-c2b3-4348-a0aa-3ea125192c68,d10f0c0b-7993-400e-bfe3-c0fb9a4ab2ad,0.9866666666666667
Businesses,115,46fa2012-c975-4b44-9a4a-72548b00e0a4,Business,Individual business operating in the premises.,https://bedes.lbl.gov/node/46fa2012-c975-4b44-9a4a-72548b00e0a4,d10f0c0b-7993-400e-bfe3-c0fb9a4ab2ad,0.96
Guest rooms,116,838f4f48-75d6-4d76-8e85-8fe0d8ddf0d8,Guest room,Individual guest rooms available for occupation. Rooms that have double connecting doors are counted should still be considered separate units.,https://bedes.lbl.gov/node/838f4f48-75d6-4d76-8e85-8fe0d8ddf0d8,d10f0c0b-7993-400e-bfe3-c0fb9a4ab2ad,0.9818181818181818
Stations,117,06767903-787e-4ef6-8775-819dc2eb05f4,Station,"Individual stations on the premises, such as workstations in a manufacturer, cashier stations in a retail store, etc.",https://bedes.lbl.gov/node/06767903-787e-4ef6-8775-819dc2eb05f4,d10f0c0b-7993-400e-bfe3-c0fb9a4ab2ad,0.975
Buildings,118,ee24930d-e880-4212-b3f7-ac8f511111d4,Building,"A building is a single structure wholly or partially enclosed within exterior walls, or within exterior and abutment walls (party walls), and a roof, affording shelter to persons, animals, or property. A building can be two or more units held in the condominium form of ownership that are governed by the same board of managers.",https://bedes.lbl.gov/node/ee24930d-e880-4212-b3f7-ac8f511111d4,fba25f46-1fbd-4379-b4fa-5d34884730b0,0.9777777777777777
Areas,119,2ecfc1fb-f240-4b6d-b05c-7855d4bcfe0d,Area,"An area is a section within a building that serves a specific activity and could stand alone, such as a restaurant inside a hotel. An area could also be section of a building that has distinctly different equipment densities, occupancies, energy-use patterns, operating characteristics, or HVAC configurations.",https://bedes.lbl.gov/node/2ecfc1fb-f240-4b6d-b05c-7855d4bcfe0d,fba25f46-1fbd-4379-b4fa-5d34884730b0,0.96
Thermal Zones,120,adfdd485-010a-478c-afe3-e31e6f5d5fe0,Thermal zone,"Thermal zone is a space or group of spaces within a building with heating and cooling requirements that are sufficiently similar so that desired conditions (e.g., temperature) can be maintained throughout using a single sensor.",https://bedes.lbl.gov/node/adfdd485-010a-478c-afe3-e31e6f5d5fe0,fba25f46-1fbd-4379-b4fa-5d34884730b0,0.9525641025641025
Floors,121,9faff201-b000-41cf-9b8a-6955b6937eea,Floor,Stories or floors made up of spaces that are all on the same level.,https://bedes.lbl.gov/node/9faff201-b000-41cf-9b8a-6955b6937eea,d10f0c0b-7993-400e-bfe3-c0fb9a4ab2ad,0.9666666666666667
Rooms,122,78b43fdd-c53b-467d-8c41-ea71f2860db2,Room,"Rooms refers to subdivisions of a housing unit. Whole rooms are rooms such as living rooms, dining rooms, bedrooms, kitchens, lodgers' rooms, finished basements or attic rooms, recreation rooms, and permanently enclosed sun porches that are used year round. Rooms used for offices by a person living in the unit are included. Not considered to be rooms are bathrooms, halls, foyers or vestibules, balconies, closets, alcoves, pantries, strip or pullman kitchens, laundry or furnace rooms, unfinished attics or basements, open porches, and unfinished space used for storage. A partially divided room, such as a dinette next to a kitchen or a living room, is considered a separate room only if there is a partition from floor to ceiling, but not if the partition consists solely of shelves or cabinets. If a room is used by occupants of more than one unit, the room is included with the unit from which it is most easily reached.",https://bedes.lbl.gov/node/78b43fdd-c53b-467d-8c41-ea71f2860db2,d10f0c0b-7993-400e-bfe3-c0fb9a4ab2ad,0.96
Bedrooms,123,c9d609a0-439d-486a-8af0-5b8371bd2e21,Bedroom,"Bedrooms are rooms that are intended for sleeping, even if not presently used for sleeping. The number of bedrooms are those that would be listed as descriptive of the apartment of house if it were on the market for sale or rent. A one-room efficiency or studio apartment has no bedrooms.",https://bedes.lbl.gov/node/c9d609a0-439d-486a-8af0-5b8371bd2e21,d10f0c0b-7993-400e-bfe3-c0fb9a4ab2ad,0.975
Other,124,,,,,,
Unknown,125,,,,,,
Draft,126,8789cd86-3994-468c-89ce-e7b31c4a2bd8,Draft,,https://bedes.lbl.gov/node/8789cd86-3994-468c-89ce-e7b31c4a2bd8,52bf6a65-c6ec-47eb-8816-75c77ba06ce5,1.0
