attribute_name,attribute_id,attribute_path,bedes_content_uuid,bedes_term,bedes_category,bedes_definition,bedes_url,distance,term_or_lo,matched_to_term,matched_term_URL,matched_to_word,matched_word_example_URL,unmatched_words
UnconditionedFloorsBelowGrade,57,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.UnconditionedFloorsBelowGrade,,,,,,,"List-Option, List-Option, List-Option","Unconditioned, Floors, Below","https://bedes.lbl.gov/node/9de91345-4f35-4334-ba1b-4b954e6d197c, https://bedes.lbl.gov/node/ad1928cc-d319-4ac5-8a48-d626afeb8e56, https://bedes.lbl.gov/node/046ce363-bdd2-4e8b-a6ca-d5c02ba50a71",Grade,https://bedes.lbl.gov/node/327e74b4-4434-4e8c-8499-2d0c0c17b8b0,
BuildingAutomationSystem,58,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.BuildingAutomationSystem,52812adb-3641-48b0-8b6e-587c8e904a23,Building automation system,,BAS,https://bedes.lbl.gov/node/52812adb-3641-48b0-8b6e-587c8e904a23,0.9846153846153847,List-Option,,,,,
HistoricalLandmark,59,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.HistoricalLandmark,,,,,,,,,,Historical,https://bedes.lbl.gov/node/84b970ab-defb-45f4-9475-3bde4e1fa14c,Landmark
AspectRatio,60,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.AspectRatio,a5be89a5-247c-49cf-8a37-c0ce3cbdc67d,Aspect Ratio,Global Terms,"The ratio of width to length, of a premises",https://bedes.lbl.gov/node/a5be89a5-247c-49cf-8a37-c0ce3cbdc67d,0.9833333333333333,Term,,,,,
Perimeter,61,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Perimeter,5500e473-1357-4674-8677-60c490aee209,Perimeter,Global Terms,Length of a line forming the boundary around the premises,https://bedes.lbl.gov/node/5500e473-1357-4674-8677-60c490aee209,1.0,Term,,,,,
TotalExteriorAboveGradeWallArea,62,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.TotalExteriorAboveGradeWallArea,,,,,,,"List-Option, List-Option, List-Option, List-Option, Term","Total, Exterior, Above, Wall, Area","https://bedes.lbl.gov/node/552a462b-4bd7-465a-94fe-ab161973dc20, https://bedes.lbl.gov/node/4c4b6f76-164d-43ff-9b15-593283074f6c, https://bedes.lbl.gov/node/c6c79a11-aae1-4643-a7f9-ce2d0b6313aa, https://bedes.lbl.gov/node/c0dd2004-2776-4940-8750-40bd4aa384cd, https://bedes.lbl.gov/node/09d61aee-b740-4655-8a5c-75ccf98d3731",Grade,https://bedes.lbl.gov/node/327e74b4-4434-4e8c-8499-2d0c0c17b8b0,
TotalExteriorBelowGradeWallArea,63,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.TotalExteriorBelowGradeWallArea,,,,,,,"List-Option, List-Option, List-Option, List-Option, Term","Total, Exterior, Below, Wall, Area","https://bedes.lbl.gov/node/552a462b-4bd7-465a-94fe-ab161973dc20, https://bedes.lbl.gov/node/4c4b6f76-164d-43ff-9b15-593283074f6c, https://bedes.lbl.gov/node/046ce363-bdd2-4e8b-a6ca-d5c02ba50a71, https://bedes.lbl.gov/node/c0dd2004-2776-4940-8750-40bd4aa384cd, https://bedes.lbl.gov/node/09d61aee-b740-4655-8a5c-75ccf98d3731",Grade,https://bedes.lbl.gov/node/327e74b4-4434-4e8c-8499-2d0c0c17b8b0,
OverallWindowToWallRatio,64,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.OverallWindowToWallRatio,,,,,,,"List-Option, List-Option","Window, Wall","https://bedes.lbl.gov/node/934211b1-a905-4db1-84af-6ce114f151aa, https://bedes.lbl.gov/node/c0dd2004-2776-4940-8750-40bd4aa384cd","To, Ratio","https://bedes.lbl.gov/node/d37a9012-13cb-4cf5-8a8f-77d7f924643e, https://bedes.lbl.gov/node/386c6359-a381-4dbf-b2e0-c72069f7843c",Overall
HeightDistribution,65,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.HeightDistribution,c819129f-1853-41e3-8373-6981f3dc7a88,Height Distribution,Premises,Description of height variations in the premises.,https://bedes.lbl.gov/node/c819129f-1853-41e3-8373-6981f3dc7a88,0.9894736842105263,Term,,,,,
HorizontalSurroundings,66,BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.HorizontalSurroundings,9e7075e5-68f5-4b5b-b871-d2c3e1329ffe,Horizontal Surroundings,Envelope,Attachments to the outermost horizontal surfaces of the premises.,https://bedes.lbl.gov/node/9e7075e5-68f5-4b5b-b871-d2c3e1329ffe,0.9913043478260869,Term,,,,,
