BuildingSyncPath,State,RequiredValues,RequiredPairedElement,GroupID,GroupingLevel
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FloorAreas.FloorArea.FloorAreaCustomName,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FloorAreas.FloorArea.FloorAreaValue,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FloorAreas.FloorArea.FloorAreaPercentage,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.FloorAreas.FloorArea.Story,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.UserDefinedFields,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.UserDefinedFields.UserDefinedField,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.UserDefinedFields.UserDefinedField.FieldName,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.Subsections.Subsection.UserDefinedFields.UserDefinedField.FieldValue,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PremisesName,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PremisesNotes,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PremisesIdentifiers,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PremisesIdentifiers.PremisesIdentifier,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PremisesIdentifiers.PremisesIdentifier.IdentifierLabel,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PremisesIdentifiers.PremisesIdentifier.IdentifierCustomName,Optional,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.PremisesIdentifiers.PremisesIdentifier.IdentifierValue,Required,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.OccupancyClassification,,,,,
BuildingSync.Facilities.Facility.Sites.Site.Buildings.Building.OccupancyLevels,,,,,
